FID,Country,Observation,Evidence,Total_no,Location_Name,Description,Source,Contributor,Assessment_Year,WebLink,Lat,Long,Closest_Lat,Closest_Long,Combined_Lat,Combined_Long,Comments,Data_Sensitivity,Data Request Info
15056,South Africa,Tourist record,Photo,4,Kgalagadi Transfrontier Parkand surrounding areas,South of AC,Tourist photos,MGL Mills,2013,NA, , ,-26.185283,20.544683,-26.185283,20.544683,Female with cubs,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15057,South Africa,Tourist record,Photo,4,Kgalagadi Transfrontier Parkand surrounding areas,S of AC,Tourist photos,MGL Mills,2013,NA, , ,-26.185283,20.544683,-26.185283,20.544683,Female with cubs,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15058,South Africa,Tourist record,Photo,2,Kgalagadi Transfrontier Parkand surrounding areas,AC,Tourist photos,MGL Mills,2013,NA, , ,-26.185283,20.544683,-26.185283,20.544683,Siblings,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15059,South Africa,Tourist record,Photo,3,Kgalagadi Transfrontier Parkand surrounding areas,AC,Tourist photos,MGL Mills,2014,NA, , ,-26.185283,20.544683,-26.185283,20.544683,Female with cubs,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15060,South Africa,Tourist record,Photo,5,Kgalagadi Transfrontier Parkand surrounding areas,S. Auchterlonie,Tourist photos,MGL Mills,2014,NA, , ,-26.185283,20.544683,-26.185283,20.544683,Female with cubs,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15061,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2011,NA,-26.285125,20.544693, , ,-26.285125,20.544693,Female - cubs (7-9m),medium,
15062,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.145448,20.544983, , ,-26.145448,20.544983,SM,medium,
15063,South Africa,Tourist record,Photo,5,Kgalagadi Transfrontier Parkand surrounding areas,Nr. Auchterlonie,Tourist photos,MGL Mills,2014,NA, , ,-26.185,20.545,-26.185,20.545,Female with cubs,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15064,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.147045,20.54507, , ,-26.147045,20.54507,SM,medium,
15065,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.189367,20.545728, , ,-26.189367,20.545728,Female - cubs (10-12m),medium,
15066,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.417068,20.546453, , ,-26.417068,20.546453,Female - cubs (>12m),medium,
15067,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2012,NA,-26.384595,20.547383, , ,-26.384595,20.547383,Female - cubs (>12m),medium,
15068,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2012,NA,-26.417065,20.54785, , ,-26.417065,20.54785,Female - cubs (7-9m),medium,
15069,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,1km S. Auchterlonie,Tourist photos,MGL Mills,2014,NA,-26.194613,20.548163, , ,-26.194613,20.548163,Single female,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15070,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,near GP,Tourist photos,MGL Mills,2011,NA,-26.167942,20.548667, , ,-26.167942,20.548667,Single male,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15071,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.373108,20.548782, , ,-26.373108,20.548782,Female - cubs (7-9m),medium,
15072,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2011,NA,-26.164367,20.548897, , ,-26.164367,20.548897,Single female,medium,
15073,South Africa,Tourist record,Photo,4,Kgalagadi Transfrontier Parkand surrounding areas,0.5km N of CQ,Tourist photos,MGL Mills,2014,NA, , ,-25.364,20.549,-25.364,20.549,Female with cubs,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15074,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2011,NA,-26.196943,20.549383, , ,-26.196943,20.549383,SM,medium,
15075,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.301655,20.551465, , ,-26.301655,20.551465,SM,medium,
15076,South Africa,Tourist record,Photo,3,Kgalagadi Transfrontier Parkand surrounding areas,Before Auchterlonie travelling north.,Tourist photos,MGL Mills,2014,NA,-26.195667,20.551562, , ,-26.195667,20.551562,Coalition,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15077,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,S of AC,Tourist photos,MGL Mills,2011,NA,-26.198428,20.552804, , ,-26.198428,20.552804,Single female,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15078,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.178287,20.554847, , ,-26.178287,20.554847,Single female,medium,
15079,South Africa,VHF telemetry,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.229043,20.5554, , ,-26.229043,20.5554,SM,medium,
