period,grid_x,grid_y,x,y,source_records,source_count,resistance,inside_fixed_core,within_10km_priority_path
late_2013_2016,-31,-272,-307425.81878744485,-2710556.2783576846,1,1,1.4883281316757202,1,0
late_2013_2016,-30,-272,-299879.22991918126,-2710545.6592505574,1,1,1.4649059567451477,1,0
late_2013_2016,-33,-272,-322100.7876752781,-2710561.091096103,1,1,1.5707546463012696,1,0
late_2013_2016,-46,-272,-459560.0277556587,-2710763.145891607,1,1,1.7715445013046265,1,0
late_2013_2016,-47,-272,-468275.20228868164,-2710775.512214303,1,1,1.9929301981925964,1,0
late_2013_2016,-48,-272,-476279.99700003787,-2710788.9981403053,1,1,2.455459990501404,1,0
late_2013_2016,-41,-272,-406059.5066375744,-2710623.9433918446,2,1,1.5910795850753783,1,0
late_2013_2016,-44,-272,-433672.82631195994,-2710535.787692269,3,1,1.5411622052192688,1,0
late_2013_2016,-34,-271,-337017.1520639859,-2708742.6528103948,1,1,1.753126070022583,1,0
late_2013_2016,-39,-266,-383790.98180142255,-2657721.5597598404,2,1,1.676750741481781,1,0
late_2013_2016,-35,-265,-347192.02331900975,-2647641.655087024,1,1,1.7129947032928465,1,0
late_2013_2016,42,-259,425722.313921392,-2585242.292456761,2,2,3.5762981300354006,1,0
late_2013_2016,-14,-252,-133129.84981468422,-2518509.4335909486,1,1,1.7290226736068728,1,0
late_2013_2016,-17,-251,-163809.72351582782,-2504686.0532354456,7,1,1.8550226736068725,1,0
late_2013_2016,-19,-250,-181183.76577184428,-2496471.359890014,1,1,1.7110226736068725,1,0
late_2013_2016,-13,-250,-123536.69182289558,-2493636.972960949,2,2,1.8431479525566101,1,0
late_2013_2016,-14,-249,-132334.19304392047,-2483515.6816957593,2,1,1.6647632641792296,1,0
late_2013_2016,-3,-233,-24061.00328967558,-2327752.7233788795,7,2,3.2050226783752445,1,0
late_2013_2016,-17,-226,-165063.27934795938,-2254613.7411925346,2,2,2.852596470832825,0,0
late_2013_2016,-18,-224,-177885.04048652467,-2238550.2620354826,9,3,1.4746898736953735,0,0
late_2013_2016,-6,-219,-51369.408107392715,-2188384.699977517,1,1,1.4685778312683107,0,0
late_2013_2016,-16,-216,-151090.73324725707,-2153638.9879742265,1,1,2.033886862754822,0,0
late_2013_2016,-17,-214,-164410.4313265985,-2136669.199168662,3,1,1.9444506435394286,0,0
late_2013_2016,-4,-233,-31765.758569666858,-2323133.5733368695,1,1,2.3463895921707154,1,0
late_2013_2016,-41,-283,-403494.3010913185,-2825476.572955052,3,1,2.210053623199463,1,0
late_2013_2016,-17,-282,-169514.12768927254,-2815707.8672224283,1,1,2.469716766357422,1,0
late_2013_2016,-28,-270,-274827.8836276662,-2693073.639546275,1,1,2.2488517951965337,1,0
late_2013_2016,-38,-266,-374876.6515076763,-2654660.95842278,3,1,1.591731123447418,1,0
late_2013_2016,-32,-265,-312077.46288680757,-2642612.149398595,1,1,2.2608503160476685,1,1
late_2013_2016,-31,-261,-305587.5039066205,-2608992.875193,1,1,1.5474920959472656,1,0
late_2013_2016,-30,-261,-294766.7045012339,-2608703.675849423,2,1,1.4791176080703734,1,1
late_2013_2016,-33,-255,-329067.7579483142,-2547979.039834976,1,1,1.6461944932937624,1,0
late_2013_2016,-35,-254,-340724.61477218353,-2534890.8456624746,1,1,2.2105540590286257,1,0
late_2013_2016,-32,-252,-315007.4174485152,-2519051.791254729,1,1,1.6985598130226134,1,0
late_2013_2016,-13,-251,-121190.37672978132,-2509012.211353123,3,2,1.7560226736068725,1,0
late_2013_2016,-36,-251,-359055.1987475077,-2508619.087610066,2,1,1.658055989742279,0,0
late_2013_2016,-33,-251,-323905.6744134449,-2507833.446463108,1,1,1.636187002658844,1,0
late_2013_2016,-18,-251,-174206.977860673,-2506533.3480868936,1,1,1.7380226736068725,1,0
late_2013_2016,-15,-245,-145222.98529528512,-2447082.3742423058,2,2,1.4052587180137632,1,0
late_2013_2016,-22,-223,-216356.2284811521,-2224259.9227942675,2,2,1.5378780026435852,0,0
late_2013_2016,-39,-293,-387658.85191510746,-2920125.485217154,1,1,1.9990226736068726,1,0
late_2013_2016,-36,-286,-353455.0661609519,-2852772.724232942,1,1,2.3645524415969854,1,0
late_2013_2016,-38,-285,-373932.4052393624,-2847517.360506259,4,1,2.27593109703064,1,0
late_2013_2016,-40,-285,-394458.0108273944,-2844929.291659564,1,1,2.2540952997207646,1,0
late_2013_2016,-36,-285,-353483.6588970854,-2840975.1491258144,1,1,1.8732366642951965,1,0
late_2013_2016,-35,-284,-343229.2295408449,-2838822.357019335,1,1,2.307412055015564,1,0
late_2013_2016,-36,-284,-353435.9532239926,-2838577.394906193,1,1,1.741779504776001,1,0
late_2013_2016,-41,-284,-404707.7524434425,-2832383.7625996172,1,1,1.9596742138862608,1,0
late_2013_2016,-38,-283,-373978.9375645094,-2826850.9617700875,3,1,2.3942328624725344,1,0
late_2013_2016,-40,-282,-394492.7407526763,-2815230.914777982,5,1,2.037710551738739,1,0
late_2013_2016,-40,-281,-398073.9880595809,-2806393.4484508187,10,1,2.223658201217652,1,0
late_2013_2016,-39,-279,-384277.5192805234,-2783940.8888475,2,1,2.140099552631378,1,0
late_2013_2016,-35,-275,-347493.39591447444,-2742916.174849391,1,1,2.185253790855408,1,0
late_2013_2016,31,-266,313766.3007221519,-2655947.6499652863,1,1,2.975328226089478,0,0
late_2013_2016,41,-259,415198.85351748357,-2583763.560271874,4,3,2.491656785964966,1,0
late_2013_2016,-39,-250,-383276.29657044285,-2493262.1214431226,1,1,1.8284102363586425,0,0
late_2013_2016,-28,-248,-273960.42579587904,-2476716.5456635654,2,1,1.4920671973228454,1,0
late_2013_2016,-3,-234,-22926.838809195542,-2332549.487596303,1,1,2.9046939001083376,1,0
late_2013_2016,-15,-229,-146935.28535062118,-2289372.9258133173,1,1,1.7762711405754088,0,0
late_2013_2016,-17,-229,-166584.37803452183,-2285944.037753433,2,1,1.4057558307647706,0,0
late_2013_2016,-15,-228,-140864.7163359801,-2277135.2738767266,2,1,1.3689384760856629,0,0
late_2013_2016,-26,-228,-250318.32180546422,-2272390.5512206554,1,1,1.481322509765625,0,0
late_2013_2016,-19,-224,-182018.72571414395,-2233638.0515860915,1,1,2.057406994819641,0,0
late_2013_2016,-24,-222,-234193.32758922759,-2217400.1499816477,2,1,1.5394168920516969,0,0
late_2013_2016,-25,-222,-247874.91744051626,-2212202.29463163,1,1,1.357854525089264,0,0
late_2013_2016,-40,-253,-396242.6470416177,-2527116.2185953856,1,1,1.6576348299980166,0,0
late_2013_2016,-23,-223,-220156.59670694257,-2225681.272164464,1,1,1.4003889722824097,0,0
early_2010_2012,-5,-239,-49049.78239538617,-2387869.96227929,1,1,3.1476793441772464,0,0
early_2010_2012,-6,-240,-50956.9745619053,-2397329.7833769917,1,1,2.481723929405213,0,0
early_2010_2012,1,-240,12216.478402735109,-2393598.2150684893,1,1,2.0260226736068727,0,0
late_2013_2016,-17,-244,-160215.21323474208,-2438541.7958930135,1,1,2.313546020507813,1,0
late_2013_2016,-14,-245,-135030.69819599792,-2441795.6055426598,2,1,2.0983510637283325,1,0
late_2013_2016,-19,-254,-184812.70862670342,-2535905.000632614,2,1,1.7830226736068726,1,0
late_2013_2016,-21,-261,-204886.66034355244,-2600762.206608236,1,1,1.8230149340629578,0,0
late_2013_2016,-21,-246,-205909.42875608624,-2452697.6646709144,1,1,56.32806856632233,1,0
late_2013_2016,-15,-246,-140386.44033562418,-2452520.4912414253,1,1,2.4064323825836182,1,0
late_2013_2016,-20,-249,-193106.45292755245,-2486581.173612088,1,1,1.6390226736068725,1,0
