scenario,year,from_core,to_core,path_length_km,cost_raw
veg_low,2020,13,17,98.01219330881803,140028.5625
veg_low,2020,17,24,32.24264068711781,48874.27734375
veg_low,2020,18,24,9.41421356237589,22486.9609375
veg_low,2020,18,28,153.4852813742377,217480.453125
veg_low,2020,18,33,117.98275605729712,160951.328125
veg_low,2020,24,28,21.00000000000093,26528.296875
veg_low,2020,24,33,39.69848480983566,51981.953125
veg_low,2020,24,38,105.14213562373195,138627.421875
veg_low,2020,26,27,110.52691193458296,197213.125
veg_low,2020,26,31,24.31370849898871,42383.390625
veg_low,2020,26,32,117.98275605729711,235845.765625
veg_low,2020,27,30,204.28427124746767,287496.875
veg_low,2020,27,31,318.7523086789894,609554.625
veg_low,2020,27,32,449.6934341759451,860226.25
veg_low,2020,27,41,159.02438661763995,270481.0625
veg_low,2020,28,33,21.00000000000745,30390.28125
veg_low,2020,28,38,35.5563491860973,57104.140625
veg_low,2020,30,36,30.99999999999907,38572.0703125
veg_low,2020,30,40,136.26702730475913,176541.5625
veg_low,2020,30,41,169.90663761155037,242898.3125
veg_low,2020,31,32,64.72792206135018,112689.15625
veg_low,2020,33,38,39.698484809829885,57206.9453125
veg_low,2020,36,40,63.8406204335642,88038.5859375
veg_low,2020,36,41,148.78174593052134,209646.8125
veg_low,2020,36,43,109.66904755831331,222990.359375
veg_low,2020,38,40,25.556349186111063,36512.16796875
veg_low,2020,38,42,29.698484809835655,44796.6484375
veg_low,2020,40,42,21.82842712474449,46398.62109375
veg_low,2020,40,43,134.1959594928896,246342.0625
veg_low,2020,40,45,136.89444430272664,246433.328125
veg_low,2020,41,43,119.95331880576724,242343.125
veg_low,2020,41,45,190.58073580373778,394107.625
veg_low,2020,42,50,51.828427124745254,76279.5703125
veg_low,2020,43,45,32.3847763108446,64412.328125
veg_low,2020,43,49,151.2132034355939,291321.5625
veg_low,2020,45,49,111.79898987322316,218927.359375
veg_low,2020,45,50,275.7350647362939,412967.5625
veg_low,2020,45,53,284.9949493661209,623806.125
veg_low,2020,49,53,125.14213562373783,342377.90625
veg_low,2020,50,53,275.19090885901545,585046.125
veg_low,2024,1,9,99.87005768509692,142855.734375
veg_low,2024,1,13,209.2792206135827,312257.5
veg_low,2024,1,17,237.18376618407996,349434.375
veg_low,2024,9,13,26.798989873218513,46013.93359375
veg_low,2024,9,17,57.6568542494904,82727.2734375
veg_low,2024,13,17,98.01219330881801,136366.59375
veg_low,2024,17,24,31.41421356237216,48983.1953125
veg_low,2024,18,24,9.41421356237589,23560.740234375
veg_low,2024,18,28,158.45584412271197,228735.421875
veg_low,2024,18,33,117.98275605729823,167284.125
veg_low,2024,24,28,21.00000000000093,27270.27734375
veg_low,2024,24,33,39.698484809833474,54467.83203125
veg_low,2024,24,38,105.14213562372896,149116.859375
veg_low,2024,26,27,109.69848480983347,200911.09375
veg_low,2024,26,31,24.31370849898871,43574.20703125
veg_low,2024,26,32,117.98275605729711,242604.203125
veg_low,2024,27,30,205.5269119345871,298618.9375
veg_low,2024,27,31,322.65180361560397,620835.75
veg_low,2024,27,32,449.6934341759406,874073.0625
veg_low,2024,27,41,158.19595949289348,275377.8125
veg_low,2024,28,33,21.00000000000745,29762.53125
veg_low,2024,28,38,38.04163056034142,60644.140625
veg_low,2024,30,36,30.99999999999907,42104.5703125
veg_low,2024,30,40,136.26702730475722,188904.921875
veg_low,2024,30,41,169.9066376115501,245939.9375
veg_low,2024,31,32,64.72792206135018,114381.8515625
veg_low,2024,33,38,39.69848480982853,61564.515625
veg_low,2024,36,40,63.8406204335631,94639.75
veg_low,2024,36,41,149.1959594928918,214000.96875
veg_low,2024,36,43,114.22539674441454,228851.90625
veg_low,2024,38,40,25.55634918611079,40615.37890625
veg_low,2024,38,42,29.698484809835655,45521.75390625
veg_low,2024,40,42,21.82842712474449,47184.3671875
veg_low,2024,40,43,135.02438661763796,253047.015625
veg_low,2024,40,45,139.2375900532335,258287.421875
veg_low,2024,41,43,119.95331880576833,242943.484375
veg_low,2024,41,45,148.6934341759484,382776.90625
veg_low,2024,42,50,51.828427124744984,79146.6328125
veg_low,2024,43,45,32.97056274847151,61452.13671875
veg_low,2024,43,49,151.21320343559256,287381.9375
